,ORIGIN,DEST,CANCELLED,DIVERTED,DELAY,DISTANCE,ORIGIN_LAT,ORIGIN_LON,DEST_LAT,DEST_LON,FL_DAY,FL_DATE,DELAY_OVERALL,DELAY_TOTAL,TIME_PERIOD
482369,DFW,EWR,False,False,True,1372,32.89595056,-97.0372,40.69249722,-74.16866056,30.0,2023-01-30,1320,1320.0,Tarde
33110,HDN,DFW,False,False,True,769,40.48118028,-107.2176597,32.89595056,-97.0372,29.0,2023-01-29,1314,1314.0,Manhã
444886,STL,ORD,False,False,True,258,38.74768694,-90.35998972,41.979595,-87.90446417,2.0,2023-01-02,1313,1313.0,Tarde
33087,HDN,DFW,False,False,True,769,40.48118028,-107.2176597,32.89595056,-97.0372,6.0,2023-01-06,1309,1309.0,Tarde
228755,FWA,LAS,False,False,True,1649,40.97846583,-85.19514639,36.08036111,-115.1523333,22.0,2023-01-22,1300,1300.0,Noite
520386,STT,IAD,False,False,True,1606,18.33730556,-64.97336111,38.94453194,-77.45580972,7.0,2023-01-07,1286,1286.0,Manhã
38068,AUS,LAX,False,False,True,1242,30.19453278,-97.66987194,33.94253611,-118.4080744,4.0,2023-01-04,1283,1283.0,Noite
460073,BHM,ORD,False,False,True,584,33.56294306,-86.75354972,41.979595,-87.90446417,28.0,2023-01-28,1277,1277.0,Manhã
183337,DFW,BOS,False,False,True,1562,32.89595056,-97.0372,42.3643475,-71.00517917,30.0,2023-01-30,1274,1274.0,Tarde
22783,LAX,PHX,False,False,True,370,33.94253611,-118.4080744,33.43416667,-112.0080556,4.0,2023-01-04,1272,1272.0,Manhã
497335,JAC,ORD,False,False,True,1162,43.60732417,-110.7377389,41.979595,-87.90446417,27.0,2023-01-27,1254,1254.0,Manhã
28725,PIT,CLT,False,False,True,366,40.49146583,-80.23287083,35.21401111,-80.94312583,26.0,2023-01-26,1244,1244.0,Manhã
114399,LAS,LAX,False,False,True,236,36.08036111,-115.1523333,33.94253611,-118.4080744,4.0,2023-01-04,1244,1244.0,Tarde
440020,AVP,ORD,False,False,True,632,41.33814944,-75.7242675,41.979595,-87.90446417,5.0,2023-01-05,1239,1239.0,Tarde
211133,MSN,MCO,False,False,True,1109,43.13985778,-89.33751361,28.42888889,-81.31602778,3.0,2023-01-03,1238,1238.0,Tarde
225385,MSP,PGD,False,False,True,1386,44.88054694,-93.2169225,26.92019444,-81.99052778,3.0,2023-01-03,1229,1229.0,Tarde
71742,MEM,CLT,False,False,True,511,35.04241667,-89.97666667,35.21401111,-80.94312583,31.0,2023-01-31,1228,1228.0,Manhã
513885,IND,EWR,False,False,True,645,39.71732917,-86.29438417,40.69249722,-74.16866056,22.0,2023-01-22,1224,1224.0,Manhã
218977,SLC,PHX,False,False,True,507,40.78838778,-111.9777731,33.43416667,-112.0080556,22.0,2023-01-22,1221,1221.0,Tarde
230208,SNA,BOI,False,False,True,688,33.67565861,-117.8682225,43.56444444,-116.2227778,12.0,2023-01-12,1221,1221.0,Manhã
